commit	val_bpb	memory_gb	status	description	sample_text
ddd5a6c	1.168152	6.0	keep	baseline	The aim of this study was to evaluate the effect of the use of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination
b6063b3	0.982910	6.0	keep	Halve TOTAL_BATCH_SIZE to 2^18 for 2x more optimizer steps within the 5-minute budget, which typically improves final val_bpb by allowing more weight updates	The aim of this study was to evaluate the effect of the use of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination
b4ceac3	0.976568	6.0	keep	Increase WARMDOWN_RATIO to 0.75 so more of the training budget is spent in LR cooldown phase, which helps the model converge to a better minimum	The aim of this study was to investigate the effects of the 2,3,4,5-tris(2,3,4-triazin-2-yl)ethane (Trp) on the growth and growth of human breast cancer cells. The results showed that the growth of the cells was inhibited by the 2,3,4-triazin-2-ylidene (Trp) and the growth of the cells was inhibited by the 2,
c38ae08	1.061479	6.1	discard	Add SwiGLU activation in MLP (replace ReLU^2 with SwiGLU gated linear unit) which has been shown to improve language model performance	The aim of this study was to investigate the effect of a single dose of 100 mg/kg of the dose of 100 mg/kg of the dose of 100 mg/kg of the dose of 100 mg/kg of the dose of 100 mg/kg of the dose of 100 mg/kg of the dose of 100 mg/kg of the dose of 100 mg/kg of the dose of 100 mg/kg of the dose of 100 mg
8594190	1.115077	6.0	discard	Replace linear LR warmdown with cosine decay schedule, which provides a smoother transition and typically finds better minima	The aim of this study was to determine the effect of the 2,4-dimethyl-2,4-dimethyl-2,4-dimethyl-2,4-dimethyl-2,4-dimethyl-2,4-dimethyl-2,4-dimethyl-2,4-dimethyl-2,4-dimethyl-2,4-dimethyl-2,4-dimethyl-2,4-dimethyl-2,4-dimethyl-2,4-dimethyl-2,4
35652c7	0.976822	6.0	discard	Combine two proven wins: halve TOTAL_BATCH_SIZE to 2^18 for more optimizer steps AND increase WARMDOWN_RATIO to 0.75 for better LR cooldown - neither was tried together	The aim of this study was to investigate the effect of the presence of a single dose of 100 mg of 100 mg of 100 mg of 100 mg of 100 mg of 100 mg of 100 mg of 100 mg of 100 mg of 100 mg of 100 mg of 100 mg of 100 mg of 100 mg of 100 mg of 100 mg of 10
baf64c7	1.089605	6.0	discard	Increase weight decay on embedding, lm_head, and value_embeds from 0.001 to 0.003, as proven technique suggests this range often helps regularize large embedding tables	The aim of this study was to determine the effect of the 2,3-dimethylthiazol-2-ylidene (DTT) on the effect of the 2,3-dimethylthiazol-2-ylidene (DTT) on the effect of the 2,3-dimethylthiazol-2-ylidene (DTT) on the effect of DTT on the effect of DTT on the effect of
f60bf5c	1.137133	6.0	discard	Increase WARMDOWN_RATIO to 0.75 (proven best standalone result) - current script has reverted to 0.5, restoring the best known setting	The aim of this study was to determine the effect of the 2,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
a9fb9d3	1.106075	6.0	discard	Replace adaptive cosine gradient clipping (1.0->0.3) with fixed clip norm of 1.0, allowing more aggressive gradient updates throughout training	The aim of this study was to evaluate the effect of the 2D printing method on the expression of the 2D printing enzyme (DEE) and the 2D printing enzyme (DEE) in the presence of the 2D printing enzyme (DEE) and 2DE (DEE) in the presence of DEE. The 2D printing enzyme (DEE) was used
37dbb04	1.163522	6.0	discard	Restore WARMDOWN_RATIO=0.75 (proven best standalone result of 0.9766) - current script reverted to 0.5, this is the single most reliable improvement found	The aim of this study was to investigate the effects of a 1,2-dihydroxyvitamin D (1,2,3,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
