commit	val_bpb	memory_gb	status	description	sample_text
3fb6704	1.096577	6.0	keep	baseline	The aim of this study was to determine the effect of the 2,3-dimethylthiopropylthiopropylthiopropylthiopropylthiopropylthiopropylthiopropylthiopropylthiopropylthiopropylthiopropylthiopropylthiopropylthiopropylthiopropylthiopropylthi
e7098f9	0.000000	0.0	crash	Switch LR warmdown to cosine schedule instead of linear for smoother decay. [GPU: NVIDIA GeForce RTX 5070 Ti (16303MB VRAM)
Config: DEPTH=8, DEVICE_BATCH_SIZE=16, VRAM_LIMIT=158]	
55a6ca5	0.000000	0.0	crash	Apply more aggressive warmdown: set WARMDOWN_RATIO=0.75 to spend more of the budget decaying LR. [GPU: NVIDIA GeForce RTX 5070 Ti (16303MB VRAM)
Config: DEPTH=8, DEVICE_BATCH_SIZE=16, VRAM_LIMIT=158]	
42330e2	1.087267	6.0	keep	Add weight decay to value embeddings parameter group, increasing to 0.003 for potentially stronger regularization.	The aim of this study was to determine the effect of the antihypertensive drug therapy on the incidence of acute myocardial infarction (AMI) in patients with acute myocardial infarction (AMI) and to determine the effect of antihypertensive therapy on the incidence of AMI. AMI was 100% (n = 100) in 100% of patients with AMI. AMI was 100% (n = 100) in 100% of
0c7ad79	0.970430	6.0	keep	Halve TOTAL_BATCH_SIZE for ~2x more optimizer steps (more updates in same time, common BPB win).	The aim of this study was to determine the effect of the presence of a single dose of 1.5 mg/kg of the drug on the development of the rat model of the rat model of the rat model of the rat model of the rat model of the rat model of the rat model of the rat model of the rat model of the rat model of the rat model of the rat model of the rat model of the rat model of the rat model of the rat model of the rat model of the
4521529	0.000000	0.0	crash	Switch MLP activation from relu^2 to GELU (more effective, smoother gradients). [GPU: NVIDIA GeForce RTX 5070 Ti (16303MB VRAM)
Config: DEPTH=8, DEVICE_BATCH_SIZE=16, VRAM_LIMIT=158]	
c4c1016	0.000000	0.0	crash	Apply z-loss only during early training (progress < 0.7), to avoid regularization late when overfitting is less likely. [GPU: NVIDIA GeForce RTX 5070 Ti (16303MB VRAM)
Config: DEPTH=8, DEVICE_BATCH_SIZE=16, VRAM_LIMIT=158]	
30778a2	1.085488	6.0	discard	Increase Adam beta2 to 0.98 for more stable long-term parameter updates.	
3a28193	1.096290	6.0	discard	Reduce weight decay for Muon optimizer to 0.05 to allow parameters to learn more freely	The aim of this study was to determine the effect of the 2- and 3- and 3- and 3- and 3- and 3- and 3- and 3- and 3- and 3- and 3- and 3- and 3- and 3- and 3- and 3- and 3- and 3- and 3- and 3- and 3- and 3- and
cabb7ad	1.081364	6.0	discard	Increase adaptive gradient clipping strength: lower max_norm to range [0.2, 1.0] (was [0.3, 1.0])	
49d9c18	0.000000	0.0	crash	Increase softcap from 12 to 16 in output logits tanh to allow higher logit magnitude, potentially improving expressivity. []	
5fb4f4f	1.085288	6.0	discard	Increase EMA smoothing of train loss for more stable logging and potentially more consistent schedule adaptation.	The aim of this study was to determine the effect of the 2- and 3-position of the 2-position of the 2-position of the 2-position of the 2-position of the 2-position of the 2-position of the 2-position of the 2-position of the 2-position of the 2-position of the 2-position of the 2-position of the 2-position of the
53832b7	0.000000	0.0	crash	Increase the MLP hidden size multiplier from 4x to 6x to boost model capacity without changing depth or batch size. [GPU: NVIDIA GeForce RTX 5070 Ti (16303MB VRAM)
Config: DEPTH=8, DEVICE_BATCH_SIZE=16, VRAM_LIMIT=158]	
0eb4695	0.000000	0.0	crash	Increase EMA smoothing for train loss logging to 0.98 for more stable loss tracking, which may help with schedule adaptation. []	
4568343	1.085119	6.0	discard	Increase the value embedding parameter group weight decay to 0.003 for stronger regularization.	
86529f8	0.000000	0.0	crash	Increase HEAD_DIM from 128 to 160 to allow more attention heads (potentially improving model expressivity and throughput). []	
