commit	val_bpb	memory_gb	status	description	sample_text
0063442	1.152597	6.0	keep	baseline	The aim of this study was to evaluate the effect of the use of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination
da5b2b7	1.198987	6.0	discard	Increase WARMDOWN_RATIO from 0.5 to 0.75 for more aggressive LR cooldown over 75% of training time instead of 50%, allowing more steps at lower learning rates near convergence	The aim of this study was to evaluate the effect of a single dose of 1 mg/kg of 1 mg/kg of 1 mg/kg of 1 mg/kg of 1 mg/kg of 1 mg/kg of 1 mg/kg of 1 mg/kg of 1 mg/kg of 1 mg/kg of 1 mg/kg of 1 mg/kg of 1 mg/kg of 1 mg/kg of 1 mg/kg of 1 mg/kg. The dose of 1
2bd43b5	1.088085	6.0	keep	Increase weight decay on embedding layers (wte, lm_head, value_embeds) from 0.001 to 0.003	The aim of this study was to determine the effect of the 2,3-dihydroxy-4-oxo-4-oxo-4-oxo-4-oxo-4-oxo-4-oxo-4-oxo-4-oxo-4-oxo-4-oxo-4-oxo-4-oxo-4-oxo-4-oxo-4-oxo-4-oxo-
b37e7c1	1.092454	6.0	discard	Replace linear LR warmdown with cosine annealing for smoother learning rate decay	The aim of this study was to determine the effect of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination
6dc7f84	1.361798	7.0	discard	Add label smoothing (0.1) to cross-entropy loss to improve generalization and reduce model overconfidence	The aim of this study was to determine the effect of a single dose of 100 mg of 100 mg of 100 mg of 100 mg of 100 mg of 100 mg of 100 mg of 100 mg of 100 mg of 100 mg of 100 mg of 100 mg of 100 mg of 100 mg of 100 mg of 100 mg of 100 mg of
f9978df	1.089656	6.3	discard	Add 0.1 dropout to residual connections in transformer blocks to reduce overfitting	The aim of this study was to determine the effect of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination
13f79f4	1.097502	6.0	discard	Increase z-loss coefficient from 1e-4 to 1e-3 for stronger logit regularization	The aim of this study was to determine the effect of the 5-fluorouracil (5-FU) on the expression of the 5-fluorouracil (5-FU) in the rat liver. The 5-FU was injected with 5-FU (5-FU) or 5-FU (5-FU) in the rat liver. The 5-FU was injected with 5-FU (5-FU) or 5-FU
b524e8b	1.134669	6.0	discard	Add 5% linear LR warmup at the start of training to stabilize early optimization	The aim of this study was to determine the effect of the 2-oxo-3-oxo-3-oxo-3-oxo-3-oxo-3-oxo-3-oxo-3-oxo-3-oxo-3-oxo-3-oxo-3-oxo-3-oxo-3-oxo-3-oxo-3-oxo-3-oxo-3-
8b493de	1.152644	6.0	discard	Reduce logits softcap from 12 to 8 for stronger regularization	The aim of this study was to investigate the effect of a 3-year-old man with a 3-year-old man with a history of a history of a history of a history of a history of a history of a history of a history of a history of a history of a history of a history of a history of a history of a history of a history of a history of a history of a history of a history of a history of a history of a history of a history of a history of
d171e9e	1.128078	6.0	discard	Add 0.1 dropout to token embeddings (wte) to reduce overfitting	The aim of this study was to investigate the effect of a new method of the method of the method of the method of the method of the method of the method of the method of the method of the method of the method of the method of the method of the method of the method of the method of the method of the method of the method of the method of the method of the method of the method of the method of method of the method of method of the method of method of method of method of
db58fd8	1.147484	6.0	discard	Change RoPE base frequency from 50000 to 10000 for improved long-range dependency modeling	The aim of this study was to evaluate the effect of a new method for the treatment of chronic hepatitis C virus (HCV) infection in patients with chronic hepatitis C virus (HCV) and hepatitis C virus (HCV) infection.The aim of this study was to evaluate the effect of a single dose of 100 mg of 100 mg/kg of 100 mg/kg of 100 mg/kg of 100 mg/kg of 100 mg/kg of
50e989e	1.118429	6.5	discard	Add stochastic depth (layer dropout) with 10% drop probability to transformer blocks for regularization	The aim of this study was to investigate the effect of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination
2bd6ffa	1.089653	6.0	discard	Increase weight decay on embedding layers (wte, lm_head, value_embeds) from 0.001 to 0.005 for stronger regularization	The aim of this study was to determine the effect of the 2,3-diphenyl-2,3,4-diphenyl-2,3,4-diphenyl-2,3,4-diphenyl-2,3,4-diphenyl-2,3,4-diphenyl-2,3,4-diphenyl-2,3,4-diphenyl-2,3,4-diphenyl-2,3,4-diphenyl
bf6af6e	1.108049	6.0	discard	Change MLP activation from ReLU^2 to GELU for smoother gradients and better optimization	The aim of this study was to determine the effect of the treatment of the 5-minute dose of 5-minute dose of 5-minute dose of 5-minute dose of 5-minute dose of 5-minute dose of 5-minute dose of 5-minute dose of 5-minute dose of 5-minute dose of 5-minute dose of 5-minute dose of
0d312c0	1.089291	6.0	discard	Change attention window pattern from SSSL to SSSS to use shorter windows in all layers except last, increasing training throughput for more steps in the fixed time budget	The aim of this study was to determine the effect of the 2,3-dihydroxy-3,4-dihydroxy-3,4-dihydroxy-3,4-dihydroxy-3,4-dihydroxy-3,4-dihydroxy-3,4-dihydroxy-3,4-dihydroxy-3,4-dihydroxy-3,4-dihydroxy-3,4-dihydroxy-3,4-dihydroxy-3,4
