commit	val_bpb	memory_gb	status	description	sample_text
a122c35	1.097410	6.0	keep	baseline	The aim of this study was to determine the effect of the presence of a 2,3-dimethylammonium chloride (TH) on the expression of the 2,3-dimethylammonium chloride (TH) and 2,3-dimethylammonium chloride (TH) in the presence of TH.The aim of this study was to determine the effect of the presence of a 2,3-dimethylammonium chloride (TH)
67a6cb7	1.108070	6.0	discard	Switch LR schedule to cosine annealing during cooldown (warndown) phase instead of linear	The aim of this study was to evaluate the effect of the 2D printing method on the expression of the 2D printing enzyme (2DE) and the 2D printing enzyme (2DE) on the expression of the 2D printing enzyme (2DE) and 2DE in the 2D printing enzyme (2DE) assay. The 2DE assay was used to determine the expression
8a1f506	1.098137	6.0	discard	Apply weight decay to value embeddings (param_group for value_embeds_params) for better regularization.	The aim of this study was to determine the effect of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination
2c4e450	0.969950	6.0	keep	Halve TOTAL_BATCH_SIZE for 2x more training steps (same GPU batch size, more frequent updates)	The aim of this study was to investigate the effects of the presence of a single dose of 100 mg/kg of the antihypertensive drug 2,3-dimethyl-2,3-diphenyl-1,3,4,5-tetrahydropyridine (DTP) on the development of the rat model of the rat model of the rat model of the rat model of the rat model of the rat model of the rat model of the rat model of the rat model of
4c20217	0.000000	0.0	crash	Increase WARMDOWN_RATIO to 0.75 for more aggressive LR cooldown. [^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
File "/home/pat/autoresearch/.venv/lib/python3.12/site-packages/torc]	
ad8ae59	0.000000	0.0	crash	Add dropout to MLP output for regularization [GPU: NVIDIA GeForce RTX 5070 Ti (16303MB VRAM)
Config: DEPTH=8, DEVICE_BATCH_SIZE=16, VRAM_LIMIT=158]	
25f9b97	1.076006	6.0	discard	Increase weight_decay on Muon param groups for stronger regularization (WEIGHT_DECAY=0.2 -> 0.3).	The aim of this study was to determine the effect of the use of the antihypertensive agent, a new antihypertensive agent, on the incidence of coronary artery disease (CAD) in patients with CAD. The study was performed in 19 patients with CAD and 19 patients with CAD. The patients were divided into 1 groups: 1) the control group (n = 6) and 2) the control group (n = 6) group (n
1d5d898	0.000000	0.0	crash	Switch MLP activation from relu().square() to GELU (more standard for transformers). [GPU: NVIDIA GeForce RTX 5070 Ti (16303MB VRAM)
Config: DEPTH=8, DEVICE_BATCH_SIZE=16, VRAM_LIMIT=158]	
adbcaf9	1.119829	6.0	discard	Add z-loss penalty (1e-4 * logits.logsumexp(-1).square().mean()) to training loss for improved logit regularization.	The aim of this study was to evaluate the effect of a 2- to 3-year-old male with a history of a 2-year-old male with a history of a history of a history of a history of a history of a history of a history of a history of a history of a history of a history of a history of a history of a history of a history of a history of a history of a history of a history of a history of a history of a history of a history
354ec83	1.116309	6.0	discard	Increase EMA smoothing on train loss logging (from 0.9 to 0.98) for more stable loss reporting and possibly more stable training.	The aim of this study was to evaluate the effect of a 2- to 3-year-old male with a 2-year-old male with a history of a history of a history of a history of a history of a history of a history of a history of a history of a history of a history of a history of a history of a history of a history of a history of a history of a history of a history of a history of a history of a history of a history of a history
c0f632e	1.118798	6.0	discard	Increase adaptive gradient clipping minimum from 0.3 to 0.5 for more stable training.	The aim of this study was to evaluate the effect of the 2D printing method on the growth of the human brain. The results showed that the 2D printing method was the most effective method for the detection of the brainstem brainstem. The method was used to evaluate the effect of the 2D printing method on the growth of the brainstem brainstem. The method was used to evaluate the effect of the 2D prin
439cf8a	1.148529	6.0	discard	Switch MLP activation from relu().square() to swish (x * sigmoid(x)) for smoother gradients.	The aim of this study was to investigate the effect of a single dose of 100 mg/kg box on the growth of the human brain and the effect of 100 mg/kg box on the growth of the brain and brain. The results of the study were compared with the effects of 100 mg/kg box on the growth of brain and brain and brain were compared with the effects of 100 mg/kg box. The effects of 100 mg/kg box
e02d0cc	1.325783	7.5	discard	Increase HEAD_DIM from 128 to 160 to allow more attention heads (potentially better modeling capacity for same VRAM).	The aim of this study was to investigate the effects of a novel and selective inhibitor of the anti-inflammatory drugs (AIB) on the effect of the anti-inflammatory drugs on the anti-inflammatory effects of anti-inflammatory drugs on the anti-inflammatory effects of anti-inflammatory drugs. The effects of anti-inflammatory drugs on the anti-inflammatory effects of anti-inflammatory drugs on the anti-inflammatory effects of anti-inflammatory drugs (AIB) and anti-inflammatory effects on the anti-inflammatory effects of anti-inflammatory drugs. The effects of anti
09e5557	1.270531	6.0	discard	Increase SCALAR_LR from 0.5 to 1.0 to allow per-layer scaling parameters to adapt faster.	The aim of this study was to investigate the effect of the two different types of the two types of the two types of the two types of the two types of the two types of the two types of the two types of the two types of the two types of the two types of the two types of the two types of the two types of the two types of the two types of the two types of the two types of the two types of the two types of the two types of the two types of
001c225	1.095503	5.5	discard	Switch MLP hidden dimension from 4x to 3x model_dim for reduced overfitting and faster training.	The aim of this study was to determine the effect of the 2,3-dimethoxy-3,3-dimethoxy-3,3-dimethoxy-3,3-dimethoxy-3,3-dimethoxy-3,3-dimethoxy-3,3-dimethoxy-3,3-dimethoxy-3,3-dimethoxy-3,3-dimethoxy-3,3-dimethoxy
7fe4032	1.042550	6.0	discard	Switch Adam epsilon for embedding and value_embeds param groups from 1e-6 to 1e-8 for potentially more stable/accurate updates.	The aim of this study was to investigate the effects of the 2,3-dimethyl-2,3-dimethyl-2,3,4,5,6,7,8,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
9a95c13	1.098424	6.0	discard	Increase the softcap value in the final logits tanh to 24 (from 12) to allow higher-magnitude logits, potentially improving expressivity and calibration.	The aim of this study was to determine the effect of the two different types of different types of different types of different types of different types of different types of different types of different types of different types of different types of different types of different types of different types of different types of different types of different types of different types of different types of different types of different types of different types of different types of different types of different types of different types of different types of different types of different types of different types of
633b18a	1.407588	6.0	discard	Increase the number of gradient accumulation steps by doubling TOTAL_BATCH_SIZE (for larger effective batch, better stability, and possibly better generalization within the time budget).	The aim of this study was to determine the effect of the effect of the on the effect of the on the effect of the on the effect of the on the effect of the on the effect of the on the effect of the on the effect of the on the effect of the on the effect of the on the effect of the on the effect of the on the effect of the on the on the effect of the on the on the effect of the on the on the effect of the on the on the
41ba5f3	1.085275	6.0	discard	Increase the short attention window from half to three-quarters of the context for more context per block.	The aim of this study was to determine the effect of the 2,3-dimethylthiazolium bromide (TZD) on the growth of the human colon cancer cell line HC-1 cells. The effect of TZD on the growth of HC-1 cells was investigated by using the 2,3-dimethylthiazolium bromide (TZD) and the 2,3-dimethylthiazolium bromide (TZD
d08017f	1.023707	6.0	discard	Switch Adam epsilon for embedding and value_embeds param groups from 1e-6 to 1e-9 for more precise updates.	The aim of this study was to determine the effect of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination
9e1a2db	1.088435	6.0	discard	Add small weight decay (0.001) to value_embeds AdamW param group for better regularization.	The aim of this study was to determine the effect of the 2,3-dihydroxy-3,4-dihydroxy-4,5-dihydroxy-1,3-dihydroxy-1,3-dihydroxy-1,3-dihydroxy-1,3-dihydroxy-1,3-dihydroxy-1,3-dihydroxy-1,3-dihydroxy-1,3-dihydroxy-1,3-dihydroxy-1,3
d4e2882	1.084697	6.0	discard	Increase MLP residual connection strength by initializing x0_lambdas to 0.2 instead of 0.1 for potentially better gradient flow.	The aim of this study was to determine the effect of the administration of a 3,4-dimethoxy-2,4-dimethoxy-2,4-dimethoxy-2,4-dimethoxy-2,4-dimethoxy-2,4-dimethoxy-2,4-dimethoxy-2,4-dimethoxy-2,4-dimethoxy-2,4-dimethoxy-2,4-d
8ed008c	1.117217	6.6	discard	Increase MLP hidden size from 4x to 5x model_dim for greater capacity in feedforward layers.	The aim of this study was to investigate the effect of the combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination
5f2f580	1.081506	6.0	discard	Increase the short attention window from half to two-thirds of the context for more context per block.	The aim of this study was to determine the effect of the 2,3-dihydroxy-3,4-dihydroxy-3,4-dihydroxy-3,4-dihydroxy-3,4-dihydroxy-3,4-dihydroxy-3,4-dihydroxy-3,4-dihydroxy-3,4-dihydroxy-3,4-dihydroxy-3,4-dihydroxy-3,4-dihydroxy-3,4
6e307e0	1.081150	6.0	discard	Increase the rotary embedding base from 50,000 to 100,000 for slower frequency decay and potentially better long-range modeling.	The aim of this study was to determine the effect of the 2,3-dimethyl-2,3-dimethyl-2,3-dimethyl-2,3-dimethyl-2,3-dimethyl-2,3-dimethyl-2,3-dimethyl-2,3-dimethyl-2,3-dimethyl-2,3-dimethyl-2,3-dimethyl-2,3-dimethyl-2,3-dimethyl-2,3-dimethyl-2,3
c82d59f	1.084020	6.0	discard	Increase window pattern to 'SSSLL' for more long-context attention layers (improves modeling capacity for long-range dependencies).	The aim of this study was to determine the effect of the 2,3-dihydroxy-3,4-dihydroxy-4,5-dihydroxy-4,5-dihydroxy-4,5-dihydroxy-4,5-dihydroxy-4,5-dihydroxy-4,5-dihydroxy-4,5-dihydroxy-4,5-dihydroxy-4,5-dihydroxy-4,5-dihydroxy-4,5
24f826d	1.111890	6.0	discard	Switch weight initialization for MLP output (c_proj) from zeros to uniform for better early gradient flow.	The aim of this study was to determine the effect of the 5-HT1A receptor antagonist 5-HT1A receptor antagonist 5-HT1A receptor antagonist 5-HT1A receptor antagonist 5-HT1A receptor antagonist 5-HT1A receptor antagonist 5-HT1A receptor antagonist 5-HT1A receptor antagonist 5-HT1A receptor antagonist 5-HT1A receptor antagonist 5-HT1A receptor antagonist 5-HT1A receptor antagonist 5-HT1
52aed02	0.000000	0.0	crash	Switch MLP hidden dimension from 4x to 2x model_dim for faster training and reduced overfitting. [GPU: NVIDIA GeForce RTX 5070 Ti (16303MB VRAM)
Config: DEPTH=8, DEVICE_BATCH_SIZE=16, VRAM_LIMIT=158]	
ddb285b	1.082980	6.0	discard	Increase the short attention window from half to seven-eighths of the context to provide more context per block.	The aim of this study was to determine the effect of the 2,3-dihydroxy-3,4-dihydroxy-4,5-dihydroxy-4,5-dihydroxy-4,5-dihydroxy-4,5-dihydroxy-4,5-dihydroxy-4,5-dihydroxy-4,5-dihydroxy-4,5-dihydroxy-4,5-dihydroxy-4,5-dihydroxy-4,5
4abb718	0.000000	0.0	crash	Increase the number of short attention layers by changing window pattern to 'SSSS' for more local context mixing. []	
963d7c7	0.000000	0.0	crash	Switch MLP activation from relu().square() to relu6().square() for bounded activation and potentially better regularization. [GPU: NVIDIA GeForce RTX 5070 Ti (16303MB VRAM)
Config: DEPTH=8, DEVICE_BATCH_SIZE=16, VRAM_LIMIT=158]	
70c62ea	1.108922	6.0	discard	Increase MLP output initialization variance by switching from zeros to uniform initialization for block.mlp.c_proj.weight to improve early training dynamics.	The aim of this study was to determine the effect of the 5-HT1 receptor antagonist, 5-HT1 receptor antagonist, on the expression of the 5-HT1 receptor antagonist, 5-HT1 receptor antagonist, 5-HT1 receptor antagonist, 5-HT1 receptor antagonist, 5-HT1 receptor antagonist, 5-HT1 receptor antagonist, 5-HT1 receptor antagonist, 5-HT1 receptor antagonist, 5-HT1 receptor antagonist, 5-HT1 receptor antagonist
c888d51	1.135291	7.1	discard	Switch the MLP hidden dimension from 4x to 6x model_dim for increased feedforward capacity.	
9b4146e	1.118339	6.0	discard	Switch MLP activation from relu().square() to relu().relu() for a sharper nonlinearity, potentially improving expressivity without triggering normalization or structural changes.	
f4f3b14	1.086107	6.0	discard	Increase the frequency of gradient clipping schedule so that max_norm decays from 1.0 to 0.2 instead of 0.3, for potentially tighter optimization and more stable training.	The aim of this study was to determine the effect of the 2,3-dihydroxy-3,4-dihydroxy-4,5-dihydroxy-4,5-dihydroxy-4,5-dihydroxy-4,5-dihydroxy-4,5-dihydroxy-4,5-dihydroxy-4,5-dihydroxy-4,5-dihydroxy-4,5-dihydroxy-4,5-dihydroxy-4,5
a2f07ca	1.083958	6.0	discard	Increase short attention window from half to five-eighths of the context for more context mixing per block.	The aim of this study was to determine the effect of the 2,3-dimethylthiazolium bromide (TZD) on the growth of the human colon cancer cell line MCF-7 cells. The results showed that TZD was a potent inhibitor of the growth of MCF-7 cells, and that TZD was a potent inhibitor of the growth of MCF-7 cells. The effect of TZD on the growth of MCF-7 cells
f83fa42	1.085254	6.0	discard	Increase the short attention window from half to three-fifths of the context for more context per block (previously unexplored ratio).	The aim of this study was to determine the effect of the 2,3-dihydroxy-3,4-dihydroxy-3,4-dihydroxy-3,4-dihydroxy-3,4-dihydroxy-3,4-dihydroxy-3,4-dihydroxy-3,4-dihydroxy-3,4-dihydroxy-3,4-dihydroxy-3,4-dihydroxy-3,4-dihydroxy-3,4
