commit	val_bpb	memory_gb	status	description	sample_text
02680fa	1.107454	6.0	keep	baseline	The aim of this study was to determine the effect of the 2,3-dimethylthiopropylthiopropylthiopropylthiopropylthiopropylthiopropylthiopropylthiopropylthiopropylthiopropylthiopropylthiopropylthiopropylthiopropylthiopropylthiopropylthi
d5c4f6d	1.141824	6.0	discard	Increase WARMDOWN_RATIO from 0.5 to 0.75 for more aggressive LR cooldown	The aim of this study was to determine the effect of the 2nd and 3nd and 3nd and 3nd and 3nd and 3nd and 3nd and 3nd and 3nd and 3nd and 3 3 and 3 3 and 3 3 4 and 3 4 4 4 4 4 4 4 4 4 4 4 4 4 4
7131eb1	1.098741	6.0	keep	Replace linear LR warmdown with cosine decay schedule	The aim of this study was to determine the effect of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination
cb24fcb	1.089212	6.0	keep	Increase weight decay on embeddings and value embeddings from 0.001 to 0.003	The aim of this study was to determine the effect of the 2,3-dimethylthiazol-2-ylidene (DTT) on the expression of the 2,3-dimethylthiazol-2-ylidene (DTT) in the presence of 2,3-dimethylthiazol-2-ylidene (DTT) in the presence of 2,3-dimethylthiazol-2-ylidene
acfed5e	1.359364	7.0	discard	Add label smoothing (0.1) to cross entropy loss to improve generalization and reduce overfitting	The aim of this study was to determine the effect of the 2,2-dimethyl-2,3,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
824d805	1.084458	6.0	keep	Increase logits softcap from 12 to 30 for higher dynamic range	The aim of this study was to evaluate the effect of the 5-fluorouracil (5-FU) on the expression of the 5-FU gene in the rat brain. The results showed that the 5-FU gene was expressed in the brain of the rat brain, and the 5-FU gene was expressed in the brain of the rat brain. The expression of 5-FU gene was detected in the brain of the rat brain, and the expression of 5
c0bdaa6	1.086579	6.0	discard	Increase weight decay on lm_head (unembedding) from 0.001 to 0.003 to match the embedding weight decay increase that previously improved val_bpb. The lm_head shares weights with embeddings but was excluded from the previous weight decay adjustment.	The aim of this study was to determine the effect of the 5-HT2 receptor antagonist (5-HT2R) on the expression of the 5-HT2 receptor (5-HT2R) and the 5-HT2 receptor (5-HT2R) in the rat brain. The 5-HT2R antagonist (5-HT2R) was administered to rats with 5-HT2R (5-HT2R) and 5-HT2R (5-HT2R) in
b71c4aa	1.083896	6.3	keep	Add 0.1 dropout to attention and MLP residual paths for regularization	The aim of this study was to determine the effect of the antihypertensive drug (ADD) on the pharmacokinetic properties of the drug, the pharmacokinetic parameters of the drug, and the pharmacokinetic parameters of the drug, and the pharmacokinetic parameters of the drug, pharmacokinetic parameters of the drug, and pharmacokinetic parameters of the drug, pharmacokinetic parameters of the drug, and pharmacokinetic parameters of the drug, pharmacokinetic parameters of the drug, and pharmacokinetic parameters of the drug,
9349449	1.101257	6.3	discard	Add 0.1 dropout to token embeddings for additional regularization, matching the existing residual dropout rate	The aim of this study was to determine the effect of the 3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
492f85a	1.304000	6.0	discard	Increase z-loss coefficient from 1e-4 to 1e-3 to strengthen logit regularization and reduce overconfident predictions	The aim of this study was to investigate the effect of a 3D cubic cubic cubic cubic cubic cubic cubic cubic cubic cubic cubic cubic cubic cubic cubic cubic cubic cubic cubic cubic cubic cubic cubic cubic cubic cubic cubic cubic c
